"lon" "lat"
-122.4194155 37.7749295
-61.8175207 17.0746557
-92.2895948 34.7464809
-79.7919754 36.0726354
-43.1728965 -22.9068467
-81.0348144 34.0007104
-81.655651 30.3321838
-90.0715323 29.9510658
-68.1192936 -16.489689
-93.2650108 44.977753
-119.8138027 39.5296329
-96.7898034 46.8771863
-68.99002 12.16957
-77.8938895 18.4762228
-81.0998342 32.0835407
-84.1857115 30.4906177
-66.1057355 18.4655394
126.9779692 37.566535
-79.9310512 32.7764749
-123.1207375 49.2827291
-69.968338 12.52111
-95.9979883 41.2523634
-58.3815591 -34.6036844
-76.1474244 43.0481221
-73.7562317 42.6525793
-76.8867008 40.2731911
-117.8531007 33.7879139
-87.9064736 43.0389025
-2.094278 57.149717
-46.6333094 -23.5505199
-83.0457538 42.331427
8.541694 47.3768866
135.5021651 34.6937378
-94.0476882 33.425125
-63.05483 18.04248
-84.3879824 33.7489954
-97.5164276 35.4675602
-88.2433829 40.1164204
-71.1828321 42.3709299
-3.7037902 40.4167754
-159.3711111 21.9811111
-87.2169149 30.421309
-79.5198696 8.9823792
-71.4128343 41.8239891
7.5885761 47.5595986
-98.4936282 29.4241219
55.2707828 25.2048493
116.4073963 39.9041999
-73.425676 40.8681539
-106.4850217 31.7618778
14.4378005 50.0755381
-70.6871091 19.7807686
-156.3319253 20.7983626
-85.7584557 38.2526647
-86.8752869 40.4167022
-91.2395807 43.8013556
-86.2999689 32.3668052
-106.3741955 39.6402638
2.1734035 41.3850639
-77.6109219 43.16103
9.1859243 45.4654219
-60.978893 13.909444
-119.7725868 36.7468422
-73.567256 45.5016889
-88.019826 44.519159
-76.2858726 36.8507689
-59.6144819 13.0968511
-86.6170308 30.4200708
-6.2603097 53.3498053
-114.5285981 35.1359386
18.49041 -22.95764
18.0685808 59.3293235
-89.4012302 43.0730517
-84.5120196 39.1031182
-116.2146068 43.6187102
8.6821267 50.1109221
-9.429499 6.428055
-75.9179738 42.0986867
-81.1885293 23.179858
-81.0228331 29.2108147
-119.0187125 35.3732921
